methodology,policy,metric,mean,ci_low,ci_high,n
synthetic,B3_l2t_no_q,m_retention_7d,-0.230750,-0.243750,-0.217625,1000
synthetic,B3_l2t_no_q,m_retention_14d,-0.386000,-0.401000,-0.371000,1000
synthetic,B3_l2t_no_q,m_hint,-0.087592,-0.094528,-0.080730,1000
synthetic,B3_l2t_no_q,m_robust,0.898291,0.860102,0.930663,118
synthetic,B3_l2t_no_q,m_efficiency,0.003807,0.003640,0.003968,1000
synthetic,B3_l2t_no_q,m_meta,0.028325,0.026846,0.029816,1000
synthetic,B3_l2t_no_q,m_engage,0.824570,0.817940,0.830830,1000
synthetic,B3_l2t_no_q,m_calib,0.150506,0.148174,0.152892,1000
synthetic,B4_full_l2t,m_mastery,0.383605,0.367474,0.398965,1000
synthetic,B4_full_l2t,m_transfer,0.768000,0.748125,0.787500,1000
synthetic,B4_full_l2t,m_retention_1d,-0.043000,-0.053125,-0.032750,1000
synthetic,B4_full_l2t,m_retention_3d,-0.116500,-0.128000,-0.105250,1000
synthetic,B4_full_l2t,m_retention_7d,-0.223000,-0.236625,-0.209500,1000
synthetic,B4_full_l2t,m_retention_14d,-0.381875,-0.397125,-0.366500,1000
synthetic,B4_full_l2t,m_hint,-0.086697,-0.093728,-0.079754,1000
synthetic,B4_full_l2t,m_robust,0.848485,0.727273,0.969697,33
synthetic,B4_full_l2t,m_efficiency,0.003836,0.003675,0.003990,1000
synthetic,B4_full_l2t,m_meta,0.031626,0.029837,0.033468,1000
synthetic,B4_full_l2t,m_engage,0.834780,0.827890,0.841330,1000
synthetic,B4_full_l2t,m_calib,0.171302,0.168082,0.174582,1000
